id,borough_county,primary_sector,entity_trade_name,annual_turnover,entity_status,country_of_primary_operation,Coal_Consumption_By_Sector(toe),Electricity_Consumption_By_Structure(toe),Gas_Consumption_By_Structure(toe),Geographic Code,Local Authority,NG_Consumption_By_Sector(toe),Petrol_Consumption_By_Sector(toe),Region,SIC Group,Section,Sector,Structure_Type
340,Derry City and Strabane,49-53 : Transport & Storage (inc. postal),"White, Jackson-Edwards, Thompson-Evans, Smith, Kaur-Pritchard",632k-10.2M,0,United Kingdom,,,,N09000005,Derry City and Strabane,,,,49-53,H,Transport & Storage (inc. postal),Office
341,"Newry, Mourne and Down","01-03 : Agriculture, forestry & fishing","Hall, Oliver-Payne, Harper-Morris, Cameron Booth-Richardson",0-632k,1,United Kingdom,,,,N09000010,"Newry, Mourne and Down",,,,01-Mar,A,"Agriculture, forestry & fishing",Warehouse
342,Horsham,"69-75 : Professional, scientific & technical","Herbert, Hall, Jones-Johnson, Andrews-Taylor Hancock-Foster",0-632k,1,United Kingdom,0,11.01091804,14.09978154,E07000227,Horsham,0.363405851,0.045845634,,69-75,M,"Professional, scientific & technical",Factory
343,Barrow-in-Furness,"69-75 : Professional, scientific & technical","Kerr, Parsons, Wilson, Brown, Rowe, Nelson, Brown",0-632k,1,United Kingdom,0,4.373777881,6.007050617,E07000027,Barrow-in-Furness,0.160787384,0,,69-75,M,"Professional, scientific & technical",Shop
344,Stockport,41-43 : Construction,"Wood, Rowe, Gregory, Palmer-Anderson, Thompson",0-632k,1,United Kingdom,0,15.47939982,23.45428998,E08000007,Stockport,0.987111926,1.374045384,,41-43,F,Construction,Factory
345,Swansea,64-66 : Finance & insurance,"Edwards, Weston-Francis, Nash-Ward, Turner-Perry Roberts-Clayton",0-632k,0,United Kingdom,0,2.466177243,3.399387309,W06000011,Swansea,0.021860233,0,,64-66,K,Finance & insurance,Shop
346,Rochdale,58-63 : Information & communication,"Miles, Sutton, Day, Campbell, Winter, Hardy, Robinson",0-632k,1,United Kingdom,0,8.044102322,10.24694819,E08000005,Rochdale,0.258034531,0.120468666,,58-63,J,Information & communication,Warehouse
347,Huntingdonshire,41-43 : Construction,"Grant, Cole, Lawrence, Stevens, Edwards, Doyle, Taylor",632k-10.2M,1,United Kingdom,0,6.412739396,3.462173035,E07000011,Huntingdonshire,0.573521334,0,,41-43,F,Construction,Office
348,Surrey Heath,77-82 : Business administration & support services,"Bibi, Hope, Singh, Hill, Jones, French, Harrison",632k-10.2M,1,United Kingdom,0,5.626256737,3.806792723,E07000214,Surrey Heath,0.187884239,0,,77-82,N,Business administration & support services,Office
349,Newport,41-43 : Construction,"Pope, Carr-Lewis, Wilson-Campbell, Dennis, Hughes, Atkins, Bibi",0-632k,1,United Kingdom,0,12.1555777,19.32756442,W06000022,Newport,0.663537504,0,,41-43,F,Construction,Office
350,Harrow,58-63 : Information & communication,"Bolton-Harris, Hughes, Jackson-Baker, Jones, Parry-Webb",0-632k,1,United Kingdom,0,2.659511116,2.985988129,E09000015,Harrow,0.045397291,0,,58-63,J,Information & communication,Office
351,West Suffolk,41-43 : Construction,"Wilkinson, Reeves-Rogers, Jones, Davies-Tomlinson Duffy, Bennett, Watson",0-632k,1,United Kingdom,0,27.85781845,81.18986857,E07000202,West Suffolk,0.424197895,0.284701716,,41-43,F,Construction,Other
352,Bracknell Forest,58-63 : Information & communication,"Burton, Mason, Bull-Dunn, Fletcher, Burns, Turnbull, Parsons",0-632k,1,United Kingdom,0,81.81963942,86.88987335,E06000036,Bracknell Forest,0.506855542,0.184459075,,58-63,J,Information & communication,Factory
353,Cardiff,77-82 : Business administration & support services,"Swift, Fox, Ford, Johnson, Atkins",0-632k,0,United Kingdom,0,12.15430586,16.41459529,W06000015,Cardiff,0.495385081,0.311828097,,77-82,N,Business administration & support services,Warehouse
354,Lancaster,41-43 : Construction,"Williams-Pearson, Brown, Brown, Taylor, Cox, Baldwin, Wilson",0-632k,1,United Kingdom,0,19.96710455,37.41990475,E07000121,Lancaster,0.263913119,0.217222931,,41-43,F,Construction,Other
355,Leeds,"69-75 : Professional, scientific & technical","Edwards, Akhtar, Wyatt, Williams-Roberts, Farrell, Lucas, Holmes",0-632k,1,United Kingdom,0,4.353892887,4.715697814,E08000035,Leeds,0.272053221,0,,69-75,M,"Professional, scientific & technical",Office
356,West Berkshire,41-43 : Construction,"Lawrence, Long, Long, Wright, Hardy-Roberts",0-632k,1,United Kingdom,0,29.63874714,21.99808198,E06000037,West Berkshire,0.96056837,1.064213778,,41-43,F,Construction,Factory
357,Horsham,"69-75 : Professional, scientific & technical","Kay, Miller-Horton, Gough, Bennett, Davies-Woods",0-632k,1,United Kingdom,0,11.52692865,12.7975246,E07000227,Horsham,0.322679234,0.064907846,,69-75,M,"Professional, scientific & technical",Factory
358,Northampton,"69-75 : Professional, scientific & technical","Hill, Roberts, Howell, Coleman Daniels-Stevenson",632k-10.2M,1,United Kingdom,0,5.006046636,4.219606313,E07000154,Northampton,0.478241593,0,,69-75,M,"Professional, scientific & technical",Office
359,East Riding of Yorkshire,84 : Public administration & defence,"Williams, Mitchell, Wilkinson, Singh, Lewis",0-632k,1,United Kingdom,0,2.890128009,3.517266583,E06000011,East Riding of Yorkshire,0.51165392,0,,84,O,Public administration & defence,Shop
360,North West Leicestershire,64-66 : Finance & insurance,"Perry-Jackson, Mitchell, Dixon, Davis, Adams-Fleming",0-632k,1,United Kingdom,0,7.96006175,16.55948691,E07000134,North West Leicestershire,0.067977233,0,,64-66,K,Finance & insurance,Office
361,Luton,49-53 : Transport & Storage (inc. postal),"Murphy, Dennis, Rose, Watkins, Cooper-Davies",0-632k,1,United Kingdom,0,2.04259906,2.196214048,E06000032,Luton,0.090839323,0,,49-53,H,Transport & Storage (inc. postal),Shop
362,Reading,"69-75 : Professional, scientific & technical","Evans-Storey, Marshall, Reynolds, Brown, Williams-Walton",0-632k,1,United Kingdom,0,16.19499578,13.06538515,E06000038,Reading,0.624779472,0,,69-75,M,"Professional, scientific & technical",Office
363,Hambleton,77-82 : Business administration & support services,"Fry-Holland, Matthews, Ford, Hill-Roberts Newton",0-632k,1,United Kingdom,0,6.462364176,8.140669239,E07000164,Hambleton,0.298735441,0,,77-82,N,Business administration & support services,Office
364,South Cambridgeshire,"01-03 : Agriculture, forestry & fishing","Davies-Sanders, Newton, Stevenson-Singh, Ellis Austin",0-632k,1,United Kingdom,0,11.11078678,10.45522414,E07000012,South Cambridgeshire,0.114156206,0,,01-Mar,A,"Agriculture, forestry & fishing",Shop
365,Sedgemoor,"69-75 : Professional, scientific & technical","Kelly-James, Morgan-Black, Tomlinson-Payne, Pugh-Wood Morris",0-632k,0,United Kingdom,0,3.564491599,3.24497701,E07000188,Sedgemoor,0.273565294,0,,69-75,M,"Professional, scientific & technical",Shop
366,Calderdale,"69-75 : Professional, scientific & technical","Green, Bull, Patterson, Wilkinson-Davies, Douglas, Sutton, Humphries",0-632k,0,United Kingdom,0,5.248672044,8.13285333,E08000033,Calderdale,0.495563434,0.037116426,,69-75,M,"Professional, scientific & technical",Warehouse
367,Warwick,"69-75 : Professional, scientific & technical","Stephenson, Crawford-Dunn, Turner, Anderson, Parkin, Johnson, Singh",0-632k,1,United Kingdom,0,39.44951493,32.3012508,E07000222,Warwick,0.304998609,0.022123996,,69-75,M,"Professional, scientific & technical",Other
368,South Kesteven,"69-75 : Professional, scientific & technical","Robinson, Hall-James, Duncan, Collins, Owens-Webb",0-632k,1,United Kingdom,0,24.36444402,32.26683511,E07000141,South Kesteven,0.278918546,0.028593319,,69-75,M,"Professional, scientific & technical",Other
369,Wealden,58-63 : Information & communication,"Wilson, Pearce, Cooper, Pearson, Gibson-Jones",0-632k,1,United Kingdom,0,1.686569142,1.226401388,E07000065,Wealden,0.04524417,0,,58-63,J,Information & communication,Shop
370,Renfrewshire,"90-99 : Arts, entertainment, recreation & other","Thomas-Thomas, Doyle-Taylor, Webster, Rogers Smith, Carter, Pope",0-632k,1,United Kingdom,,,,S12000038,Renfrewshire,,,,90-99,R,"Arts, entertainment, recreation & other",Other
371,Camden,68 : Property,"Williams, Hall, Lewis, Gilbert, Ward, Watson, King",0-632k,1,United Kingdom,0,3.184539402,3.603590166,E09000007,Camden,0.054972548,0,,68,L,Property,Office
372,Camden,"69-75 : Professional, scientific & technical","Smith-Singh, Richards, Thomas-Haynes, Wong-Clarke Stevenson-Fox",0-632k,1,United Kingdom,0,95.52872182,148.3539212,E09000007,Camden,0.188412297,0.015334654,,69-75,M,"Professional, scientific & technical",Other
373,Allerdale,"69-75 : Professional, scientific & technical","McKenzie, Davey, Hanson, Whittaker, Harris, Barker, Hunt",0-632k,1,United Kingdom,0,25.01470731,61.69219825,E07000026,Allerdale,0.225252084,0.056432228,,69-75,M,"Professional, scientific & technical",Other
374,Milton Keynes,58-63 : Information & communication,"Perkins, Howell-Wheeler, Jordan, Palmer, Cross-Hall",0-632k,1,United Kingdom,0,6.134994439,3.682006837,E06000042,Milton Keynes,0.12935816,0,,58-63,J,Information & communication,Shop
375,Portsmouth,47 : Retail,"Jenkins, Brown, Thomas, Bull, Richardson, Fuller, Oliver",632k-10.2M,0,United Kingdom,0,21.03841782,14.1977066,E06000044,Portsmouth,1.902699678,0.365746794,,47,G,Retail,Warehouse
376,Mole Valley,58-63 : Information & communication,"Giles-Ryan, Swift-Akhtar, McCarthy, Walsh, Dennis-Gibbs",0-632k,1,United Kingdom,0,5.327924386,5.841839018,E07000210,Mole Valley,0.072710212,0,,58-63,J,Information & communication,Office
377,Barnet,77-82 : Business administration & support services,"Harris, Miller, Watkins, Barker, Field-Field",0-632k,1,United Kingdom,0,73.50939922,77.70589784,E09000003,Barnet,0.119327699,0.017144668,,77-82,N,Business administration & support services,Other
378,Mid Sussex,47 : Retail,"Wood-Smith, Bennett-Burrows, Thomas, Robinson, Wheeler",0-632k,1,United Kingdom,0,1.974594841,1.867842158,E07000228,Mid Sussex,0.334173898,0,,47,G,Retail,Shop
379,South Somerset,"90-99 : Arts, entertainment, recreation & other","Hughes, Osborne, Freeman, Houghton, Green-Birch",0-632k,1,United Kingdom,0,22.42367616,21.60399992,E07000189,South Somerset,0.115979877,0.002906501,,90-99,S,"Arts, entertainment, recreation & other",Other
380,"Bristol, City of",55-56 : Accommodation & food services,"Hopkins, Turner, Begum-Bell, Harris-Yates Barnes, Richardson, North",0-632k,1,United Kingdom,0,5.07088773,4.022758783,E06000023,"Bristol, City of",0.721217281,0,,55-56,I,Accommodation & food services,Office
381,Hambleton,47 : Retail,"Jarvis, Barber, Porter, Evans, Hardy, Miller, Sanderson",0-632k,1,United Kingdom,0,7.362587795,7.773212821,E07000164,Hambleton,0.945370147,0,,47,G,Retail,Office
382,Fareham,41-43 : Construction,"Waters, Myers, Poole, Davies, Barnett",632k-10.2M,0,United Kingdom,0,11.99988201,12.19815236,E07000087,Fareham,0.786723692,0.499744298,,41-43,F,Construction,Warehouse
383,Basildon,58-63 : Information & communication,"Bond-Wall, Martin, Rogers, Jones-Gray Ball, Lloyd, James",0-632k,1,United Kingdom,0,8.360555169,7.277070426,E07000066,Basildon,0.168122466,0,,58-63,J,Information & communication,Office
384,Leeds,"90-99 : Arts, entertainment, recreation & other","Gordon-Williams, Bell, Hunt-Robertson, Williams-Farrell Davies, Bray, Morgan",0-632k,1,United Kingdom,0,4.145731713,4.301891391,E08000035,Leeds,0.139925691,0,,90-99,R,"Arts, entertainment, recreation & other",Office
385,Sheffield,55-56 : Accommodation & food services,"Smith-Ali, Collins, Duffy, Davies, Taylor",0-632k,1,United Kingdom,0,5.529659093,8.289368712,E08000019,Sheffield,0.956567153,0,,55-56,I,Accommodation & food services,Office
386,Kingston upon Thames,86-88 : Health,"Johnson-Brady, Smith, Pearce, Hancock, Wilson-Barker",0-632k,1,United Kingdom,0,58.88931999,40.98595891,E09000021,Kingston upon Thames,0.597984541,0.004032252,,86-88,Q,Health,Other
387,Leeds,49-53 : Transport & Storage (inc. postal),"Stone, Hayes, Armstrong, Banks-Gardner, Barnes",632k-10.2M,1,United Kingdom,0,3.142482634,3.927939742,E08000035,Leeds,0.100130779,0,,49-53,H,Transport & Storage (inc. postal),Shop
388,Bolton,58-63 : Information & communication,"Dawson-Kelly, Bradshaw, Mitchell, Jones, Roberts",0-632k,1,United Kingdom,0,4.294053996,5.570369101,E08000001,Bolton,0.133570791,0,,58-63,J,Information & communication,Office
389,Tandridge,"69-75 : Professional, scientific & technical","Robinson, Hawkins, Webster, Hill, Parkin, Pritchard, Cooper",0-632k,1,United Kingdom,0,5.80743382,5.083633953,E07000215,Tandridge,0.298936658,0.097978269,,69-75,M,"Professional, scientific & technical",Warehouse
390,West Lothian,41-43 : Construction,"Walton-Bennett, Armstrong, Jones, Thomas, Allen",0-632k,1,United Kingdom,,,,S12000040,West Lothian,,,,41-43,F,Construction,Warehouse
391,Gateshead,"69-75 : Professional, scientific & technical","Ross, Burke, Robinson, Owen, Bishop",0-632k,1,United Kingdom,0,9.195110536,11.90460686,E08000037,Gateshead,0.542199465,0,,69-75,M,"Professional, scientific & technical",Office
392,Bassetlaw,"01-03 : Agriculture, forestry & fishing","Jones, Evans, Taylor, Kennedy, Burns, Carroll, Smith",0-632k,1,United Kingdom,0,7.841825385,8.46621245,E07000171,Bassetlaw,0.11630667,0,,01-Mar,A,"Agriculture, forestry & fishing",Office
393,East Hertfordshire,49-53 : Transport & Storage (inc. postal),"Hawkins, Walters, Thomas, Hughes, Kaur-Morris",0-632k,1,United Kingdom,0,4.431769805,4.455326372,E07000242,East Hertfordshire,0.109819889,0,,49-53,H,Transport & Storage (inc. postal),Office
394,Brighton and Hove,47 : Retail,"McDonald, Chambers, Hunt, Khan, Gray-Bradshaw",0-632k,1,United Kingdom,0,4.096336263,3.578187667,E06000043,Brighton and Hove,0.345024001,0,,47,G,Retail,Office
395,Leeds,86-88 : Health,"Sharp, Evans, Nicholls, Bartlett, Wilson-Perry",0-632k,1,United Kingdom,0,39.12250181,37.86533216,E08000035,Leeds,1.325096066,0.019319865,,86-88,Q,Health,Other
396,Cheshire West and Chester,41-43 : Construction,"Allen-Brooks, Powell-Townsend, Waters, Stewart, Hill-Walker",0-632k,1,United Kingdom,0,11.08156113,12.61621972,E06000050,Cheshire West and Chester,0.355025741,0,,41-43,F,Construction,Office
397,Belfast,77-82 : Business administration & support services,"Hale, O'Donnell, George, Kaur, Brown",0-632k,1,United Kingdom,,,,N09000003,Belfast,,,,77-82,N,Business administration & support services,Shop
398,Cotswold,46 : Wholesale,"Williams, Davies, Duncan, Young, Simpson-Jones",0-632k,1,United Kingdom,0,5.054157017,3.461113703,E07000079,Cotswold,0.714929962,0,,46,G,Wholesale,Office
399,Bury,41-43 : Construction,"Holland, Anderson, Barker, Taylor, Marsden, Briggs, Butler",0-632k,1,United Kingdom,0,1.673575284,2.190075269,E08000002,Bury,0.198366749,0,,41-43,F,Construction,Shop
400,Solihull,58-63 : Information & communication,"Little, Stewart, Kelly, Scott-Robertson, Parker, Holmes, Knight",0-632k,1,United Kingdom,0,8.415241221,13.4081821,E08000029,Solihull,0.112683844,0,,58-63,J,Information & communication,Office
401,Wealden,55-56 : Accommodation & food services,"Boyle, Craig, Haynes, Evans, Garner-Lowe",0-632k,1,United Kingdom,0,9.159493367,4.79196262,E07000065,Wealden,0.747674879,0.021324298,,55-56,I,Accommodation & food services,Factory
402,Cheshire East,86-88 : Health,"Mahmood, Parker, Payne, Preston-Berry, Morris-Jones",0-632k,1,United Kingdom,0,2.29913077,5.034920876,E06000049,Cheshire East,0.639704214,0,,86-88,Q,Health,Shop
403,Sandwell,46 : Wholesale,"Williams, Thomas-Wyatt, Clark, Gill, Bond, Hall, Hancock",632k-10.2M,1,United Kingdom,0,8.179991891,10.39203179,E08000028,Sandwell,1.501646297,0.302759355,,46,G,Wholesale,Warehouse
404,Camden,55-56 : Accommodation & food services,"White, Evans, Jackson, O'Neill-Bailey, Heath",0-632k,1,United Kingdom,0,3.022752458,3.213114882,E09000007,Camden,0.226338011,0,,55-56,I,Accommodation & food services,Office
405,Calderdale,"69-75 : Professional, scientific & technical","Osborne, Baldwin, Smith, Mann, Barnes",632k-10.2M,1,United Kingdom,0,9.890319984,15.14806631,E08000033,Calderdale,0.580361289,0.113657804,,69-75,M,"Professional, scientific & technical",Factory
406,Winchester,47 : Retail,"Ryan-Reed, Ellis-Gilbert, Wright-Wright, Booth, Todd-Gordon",0-632k,1,United Kingdom,0,12.32855962,10.40215536,E07000094,Winchester,1.599512588,0.344807607,,47,G,Retail,Warehouse
407,Waltham Forest,58-63 : Information & communication,"Watson-Roberts, Kemp, Elliott, Rose, Miller-Stanley",632k-10.2M,1,United Kingdom,0,1.08188009,1.372876696,E09000031,Waltham Forest,0.022543601,0,,58-63,J,Information & communication,Shop
408,Monmouthshire,58-63 : Information & communication,"Williams, Hughes, Scott, Atkinson, Swift-Kaur",0-632k,1,United Kingdom,0,2.62048875,3.052646254,W06000021,Monmouthshire,0.050008052,0,,58-63,J,Information & communication,Shop
409,Bradford,41-43 : Construction,"Fitzgerald, Morris, Patel, Dunn-Jones, Lees, Hunt, Ahmed",632k-10.2M,1,United Kingdom,0,1.389261153,3.014536175,E08000032,Bradford,0.161188181,0,,41-43,F,Construction,Shop
410,Bridgend,77-82 : Business administration & support services,"Wall, Clark, Webster-Macdonald, Smith Hunt, Pollard, Weston",0-632k,1,United Kingdom,0,8.091824914,8.918903502,W06000013,Bridgend,0.328567031,0,,77-82,N,Business administration & support services,Office
411,Fermanagh and Omagh,"01-03 : Agriculture, forestry & fishing","James, Fraser, Coates, Davey, Knight",0-632k,1,United Kingdom,,,,N09000006,Fermanagh and Omagh,,,,01-Mar,A,"Agriculture, forestry & fishing",Factory
412,Leeds,77-82 : Business administration & support services,"Richardson-Lewis, Summers, Hewitt, Dickinson-Rees Bull",0-632k,1,United Kingdom,0,2.548601668,3.459487294,E08000035,Leeds,0.129258561,0,,77-82,N,Business administration & support services,Shop
413,Ryedale,"01-03 : Agriculture, forestry & fishing","Robinson, Anderson, Adams-Pearce, Jackson, Walker",0-632k,0,United Kingdom,2.12E-08,13.347635,18.90205477,E07000167,Ryedale,0.105019665,0.012509839,,01-Mar,A,"Agriculture, forestry & fishing",Warehouse
414,Richmond upon Thames,68 : Property,"Nicholls-Wilson, Freeman-Alexander, Edwards-Mitchell, Morley-Edwards Burgess",0-632k,1,United Kingdom,0,42.56719544,40.22465591,E09000027,Richmond upon Thames,0.513831873,0.03955558,,68,L,Property,Factory
415,North West Leicestershire,41-43 : Construction,"Barnett, White, Holden, Davies, Blake",0-632k,0,United Kingdom,0,5.311164987,11.79468619,E07000134,North West Leicestershire,0.492012263,0,,41-43,F,Construction,Shop
416,Stevenage,64-66 : Finance & insurance,"Ahmed, Blake-Roberts, Smith-Clarke, Singh, Gray-Carter",0-632k,1,United Kingdom,0,5.747851289,9.767575227,E07000243,Stevenage,0.057529857,0,,64-66,K,Finance & insurance,Office
417,Cheshire East,"01-03 : Agriculture, forestry & fishing","Thomas, Brooks, Green, Berry, Rhodes, Gallagher, Smith",0-632k,1,United Kingdom,0,2.4622133,4.888776525,E06000049,Cheshire East,0.030453801,0,,01-Mar,A,"Agriculture, forestry & fishing",Shop
418,Bromley,77-82 : Business administration & support services,"Mitchell, Carter-Kelly, Fuller, West Wilkinson",0-632k,1,United Kingdom,0,5.565981625,6.315609798,E09000006,Bromley,0.196160224,0,,77-82,N,Business administration & support services,Office
